CustomerID,idade,sexo,tempo_como_cliente,frequencia_uso,ligacoes_callcenter,dias_atraso,assinatura,duracao_contrato,total_gasto,meses_ultima_interacao,cancelou
349936,23,Male,13,22,2,1,Standard,Annual,909.58,23,0
100634,49,Male,55,16,3,6,Premium,Monthly,207.0,29,1
301263,30,Male,7,1,0,8,Basic,Annual,768.78,7,0
119358,26,Male,40,5,3,8,Premium,Annual,398.0,12,1
130955,27,Female,17,30,5,6,Basic,Annual,507.0,15,1
345190,49,Male,6,7,0,0,Standard,Annual,751.0,11,0
405747,33,Male,15,18,1,20,Standard,Annual,839.71,25,0
298708,19,Female,59,19,1,4,Basic,Quarterly,543.93,7,0
269544,27,Female,1,13,0,11,Premium,Annual,621.67,6,0
38724,47,Male,24,6,0,5,Premium,Monthly,752.0,28,1
131874,43,Male,46,20,6,7,Standard,Annual,549.0,19,1
377201,23,Male,30,22,1,16,Premium,Annual,866.04,11,0
186008,54,Female,28,19,7,5,Premium,Annual,337.0,26,1
104534,59,Female,7,7,10,0,Premium,Quarterly,428.0,12,1
86768,50,Female,19,1,6,28,Premium,Quarterly,299.0,15,1
153778,33,Female,51,7,6,7,Basic,Annual,562.0,10,1
376002,39,Male,15,28,2,13,Standard,Annual,886.05,6,0
368016,31,Male,29,29,0,15,Basic,Quarterly,642.54,8,0
343630,43,Male,51,28,2,20,Standard,Quarterly,950.18,24,0
54070,34,Female,21,23,5,16,Premium,Annual,210.0,27,1
406931,34,Male,6,15,0,2,Basic,Quarterly,524.72,1,0
355980,48,Male,59,25,0,18,Basic,Quarterly,992.53,11,0
432799,39,Male,4,29,2,3,Premium,Quarterly,622.88,2,0
139098,33,Female,21,21,10,10,Standard,Quarterly,850.0,1,1
188700,38,Female,39,29,6,5,Standard,Quarterly,213.0,27,1
252919,64,Male,13,28,6,18,Basic,Quarterly,547.9,14,1
145511,56,Male,4,24,8,15,Standard,Monthly,613.0,26,1
141076,64,Female,59,9,2,3,Standard,Monthly,145.0,13,1
252375,55,Female,18,19,1,23,Standard,Annual,145.33,8,1
192571,29,Female,14,20,4,19,Premium,Quarterly,192.0,12,1
248924,54,Male,10,22,0,7,Basic,Annual,165.83,25,1
81874,60,Female,41,3,5,1,Standard,Quarterly,550.0,22,1
369714,50,Male,49,18,2,4,Standard,Annual,571.1,6,0
218573,55,Female,23,21,3,8,Basic,Monthly,261.76,24,1
192993,57,Female,16,5,8,23,Basic,Quarterly,167.0,30,1
369016,31,Male,6,30,1,7,Standard,Annual,874.94,3,0
94269,54,Male,32,16,5,22,Premium,Annual,640.0,11,1
249832,35,Female,1,4,2,0,Basic,Annual,188.28,6,1
6244,44,Male,56,3,1,10,Basic,Monthly,558.0,15,1
159808,32,Male,12,6,2,26,Standard,Quarterly,335.0,17,1
164076,34,Male,45,4,2,21,Basic,Annual,885.0,4,1
407658,22,Female,39,7,0,4,Basic,Annual,751.63,4,0
371247,29,Male,5,30,1,18,Standard,Annual,831.27,17,0
37410,35,Male,28,8,10,24,Premium,Monthly,666.0,8,1
405274,34,Female,13,16,1,20,Basic,Quarterly,771.31,8,0
314368,50,Male,51,10,3,4,Premium,Quarterly,685.71,27,0
356333,48,Male,49,20,3,19,Basic,Annual,638.84,24,0
260348,18,Male,30,7,4,3,Basic,Annual,783.41,12,1
187619,60,Male,35,16,5,14,Premium,Quarterly,211.0,5,1
290799,50,Male,17,19,3,4,Premium,Annual,994.51,24,0
443286,35,Female,26,24,0,1,Standard,Annual,798.8,12,0
221045,44,Female,55,6,8,1,Premium,Quarterly,166.92,24,1
292658,30,Male,21,22,1,1,Basic,Annual,782.54,21,0
328650,49,Male,31,17,4,5,Standard,Quarterly,547.25,18,0
176187,63,Female,31,23,0,24,Premium,Quarterly,884.0,12,1
47464,55,Female,1,3,5,4,Basic,Monthly,256.0,4,1
179889,59,Female,10,23,2,21,Premium,Quarterly,580.0,29,1
125880,26,Male,27,22,3,25,Basic,Monthly,205.0,13,1
77220,29,Female,33,8,5,1,Standard,Annual,127.0,10,1
280383,24,Female,53,18,1,11,Standard,Quarterly,585.96,13,0
119678,65,Female,41,14,8,19,Premium,Monthly,431.0,8,1
332163,49,Male,28,2,4,9,Premium,Quarterly,928.38,18,0
198364,65,Male,8,14,6,17,Premium,Quarterly,482.0,15,1
259922,49,Male,1,4,0,19,Standard,Monthly,350.27,22,1
193308,33,Male,34,16,4,28,Basic,Quarterly,631.0,17,1
23321,28,Male,50,25,0,24,Premium,Quarterly,337.0,12,1
35562,60,Female,50,22,3,4,Premium,Annual,601.0,16,1
305600,33,Male,25,12,2,5,Standard,Annual,770.18,13,0
198798,44,Female,30,19,8,29,Premium,Monthly,909.0,23,1
352708,47,Female,7,25,1,1,Premium,Quarterly,602.33,10,0
349238,38,Male,28,18,1,2,Premium,Quarterly,955.24,1,0
323985,39,Male,39,1,2,17,Standard,Quarterly,603.78,28,0
174367,23,Male,6,2,9,22,Premium,Quarterly,457.0,10,1
241468,39,Male,43,1,3,4,Premium,Quarterly,158.66,16,1
104998,36,Male,5,18,7,8,Standard,Monthly,873.0,8,1
352623,41,Male,59,21,2,11,Standard,Annual,528.14,24,0
283759,47,Female,28,14,4,2,Standard,Annual,904.64,14,0
